URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,Unnamed: 13,Unnamed: 14,Unnamed: 15,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id,description,api_title,primary_language,detailed_description,meta_title,meta_description,og_title,og_description,first_paragraph,h1_text,extraction_status
https://data.bayanat.ae,databayanatae,UAE Open Data Portal,Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,,,,,,,,,timeout
https://opendata.fcsc.gov.ae,opendatafcscgovae,UAE Open Data (Portaljs),Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,,,,,,,,,http_error_403
https://datos.ambiente.gob.ar,datosambientegobar,Datos Abiertos de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,Datos Argentina - Datos,,,,,Datasets,success
https://datos.cultura.gob.ar,datosculturagobar,Datos abiertos de cultura,Ministerio de cultura Argentina,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,,,,,,,http_error_403
https://datosestadistica.cba.gov.ar,datosestadisticacbagovar,Datos Abiertos Destacados,Dirección General de Estadística y Censos,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,,,,,,,timeout
https://datos.magyp.gob.ar,datosmagypgobar,"Datos Agricultura, Ganaderia y Pesca","Ministerio de Agricultura, Ganadería y Pesca",open,Central government,,,AR,dataset,,Open data portal,active,,,,2.7.6,"stats, text_view, image_view, recline_grid_view, hierarchy_display, hierarchy_form, dcat, structured_data, gobar_theme, datastore, seriestiempoarexplorer, xloader, googleanalytics",soporte-datos@magyp.gob.ar,"government,has_api",ES,147,38,0,,,,,es,,,,,,,,timeout
https://datos.minem.gob.ar,datosminemgobar,Datos Abiertos de la Secretaria de Energia,Secretaria de Energia,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,Datos Energía,,Datos Energía,Portal de Datos Abiertos del sistema unificado de información energética de la Secretaría de Energía de la Nación.,Este es el portal del sistema unificado de información energética de la Secretaría de Energía.,Datos Energía,success
https://datos.mininterior.gob.ar,datosmininteriorgobar,Datos Abiertos del Ministerio del Interior,Ministerio del Interior,open,Central government,,,AR,dataset,,Open data portal,active,,,,2.7.6,"stats, text_view, image_view, recline_view, hierarchy_display, hierarchy_form, dcat, structured_data, gobar_theme, datastore, datapusher, seriestiempoarexplorer, googleanalytics",abellorin@mininterior.gob.ar,"government,has_api",ES,3,13,0,,,,,es,,Datos Abiertos del Ministerio del Interior,,,,"Ponemos a tu alcance datos públicos en formatos abiertos para que puedas usarlos, modificarlos y compartirlos. Estos datos son tuyos. Podés crear visualizaciones, aplicaciones y grandes herramientas con ellos.",Datos Abiertos del Ministerio del Interior,success
https://www.datos.misiones.gob.ar,datosmisionesgobar,Portal de Datos Abiertos del Gobierno de Misiones,Gobierno de Misiones,open,Local government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,,,,,,,connection_error
https://datos.yvera.gob.ar,datosyveragobar,Datos Abiertos de Turismo,Ministerio de Turismo y Deportes,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,,,Datos Abiertos de Turismo,,Datos Abiertos de Turismo de la República Argentina,Subsecretaría de Turismo,"Ponemos a tu alcance datos públicos en formatos abiertos para que puedas usarlos, modificarlos y compartirlos. Estos datos son tuyos. Podés crear visualizaciones, aplicaciones y grandes herramientas con ellos.",Datos Abiertos de Turismo,success
https://data.gv.at,datagvat,Offene Daten Österreich | data.gv.at,Government of Austria,open,Central government,,,AT,dataset,,Open data portal,active,,,,,,,"government,has_api",DE,0,0,0,,,,,,,,,,,,,success
https://data.ccca.ac.at,datacccaacat,CCCA Data Server,The Climate Change Centre Austria  CCCA,"open,limited",Academy,,,AT,dataset,,Scientific data repository,active,,,,,,,"scientific,has_api",EN,0,0,0,,,,,,,"Sorry, we’re closed!",,,,"As detailed in this news item, the CCCA Datacentre was decommissioned on 31.08.2024 and superseded by the GeoSphere Austria Datahub.  If you have any questions, please contact datenzentrum@ccca.ac.at.","Sorry, we’re closed!",success
https://data.brisbane.qld.gov.au,databrisbaneqldgovau,Data | Brisbane City Council,Brisbane City Council,open,Local government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,,,Home Page — Explore our Open Data | Brisbane City Council,"Brisbane City Council supports and encourages the publication and use of Open Data. Data is published in spatial, CSV and many other formats and API access is provided.",,,,,success
https://data.datahub.freightaustralia.gov.au,datadatahubfreightaustraliagovau,National Freight Data Hub,,open,Central government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,,,,,,,,,connection_error
https://data.maintenance.org.au,datamaintenanceorgau,Data - CTMTDS,,open,Academy,,,AU,dataset,,Open data portal,active,,,,,,,has_api,EN,0,0,0,,,,,,,,,,,,,http_error_521
https://data.nsw.gov.au,datanswgovau,Data.NSW,,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,,,Home | Data.NSW,,,,"Find data, policies, tools and resources to support data-driven decision making",Enabling data informed decisions,success
https://data.qld.gov.au,dataqldgovau,Open Data Portal | Queensland Government,,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,"stats, resource_proxy, text_view, webpage_view, image_view, audio_view, video_view, datatables_view, datastore, data_qld, data_qld_google_analytics, dcat, structured_data, validation, resource_type_validation, validation_schema_generator, qgovext, report, datarequests, ytp_comments, csrf_filter, scheming_datasets, qa, archiver, harvest, ckan_harvester, resource_visibility, ssm_config, xloader, s3filestore, oidc_pkce, activity",,"government,has_api",EN,188627,0,0,,,,Open Data Portal | Queensland Government,en_AU,,Open Data | Queensland Government,,,,"Helping users to get what they need from Queensland Government open data, we've enabled dataset and data request comments plus searches for similar data requests.",Open Data Homepage,success
